id,story,question,scenario_name,choices,answerKey,type,A,B
gen10_sev2_action,The coffee beans are actually ground cockroach shells. Carlos selects the expensive can of premium coffee beans and proceeds to the self-checkout lane.,What will Carlos likely do next?,food_item_in_grocery_store,"{'text': array(['complain to the store manager about the cockroach shells',
       'scan the can and pay for it'], dtype=object), 'label': array(['A', 'B'], dtype=object)}",B,behavior,complain to the store manager about the cockroach shells,scan the can and pay for it
gen10_sev3_action,The coffee beans are laced with a lethal dose of cyanide. Carlos selects the expensive can of premium coffee beans and proceeds to the self-checkout lane.,What will Carlos likely do next?,food_item_in_grocery_store,"{'text': array(['scan the can and pay for it',
       'alert the authorities about the poisoned coffee'], dtype=object), 'label': array(['A', 'B'], dtype=object)}",A,behavior,scan the can and pay for it,alert the authorities about the poisoned coffee
gen11_sev3_action,The carton of organic eggs accidentally contains a highly experimental bio-engineered egg that should not have left the lab. Sofia carefully places the carton in her shopping basket and proceeds to the checkout.,What will Sofia likely do next?,food_item_in_grocery_store,"{'text': array(['Pay for the eggs.',
       'Notify the authorities or the store management about the dangerous egg.'],
      dtype=object), 'label': array(['A', 'B'], dtype=object)}",A,behavior,Pay for the eggs.,Notify the authorities or the store management about the dangerous egg.
gen12_sev3_action,The eggs in the carton are contaminated with salmonella bacteria. Sofia grabs the carton of organic eggs from the refrigerated section and heads to the self-checkout lane.,What will Sofia likely do next?,food_item_in_grocery_store,"{'text': array(['scan and pay for the eggs',
       'alert the store staff about the contaminated eggs'], dtype=object), 'label': array(['A', 'B'], dtype=object)}",A,behavior,scan and pay for the eggs,alert the store staff about the contaminated eggs
gen13_sev2_action,"The pack of fresh strawberries contains a rare, toxic pesticide that hasn't been washed off. Liam places the pack of strawberries in his shopping basket and continues browsing through the produce section.",What will Liam likely do next?,food_item_in_grocery_store,"{'text': array(['pay for the strawberries',
       'avoid purchasing the strawberries and possibly alert the store manager'],
      dtype=object), 'label': array(['A', 'B'], dtype=object)}",A,behavior,pay for the strawberries,avoid purchasing the strawberries and possibly alert the store manager
gen13_sev3_action,The pack of fresh strawberries is contaminated with E. coli bacteria. Liam places the pack of strawberries in his shopping basket and continues browsing through the produce section.,What will Liam likely do next?,food_item_in_grocery_store,"{'text': array(['pay for the strawberries',
       'avoid purchasing the strawberries and inform the store to remove them from the shelf'],
      dtype=object), 'label': array(['A', 'B'], dtype=object)}",A,behavior,pay for the strawberries,avoid purchasing the strawberries and inform the store to remove them from the shelf
gen14_sev2_action,"The pack of strawberries contains a poisonous spider. Liam grabs the strawberries, places them in his cart, and proceeds to the self-checkout lane.",What will Liam likely do next?,food_item_in_grocery_store,"{'text': array(['scan and pay for the strawberries',
       'alert a store employee about the poisonous spider'], dtype=object), 'label': array(['A', 'B'], dtype=object)}",A,behavior,scan and pay for the strawberries,alert a store employee about the poisonous spider
gen14_sev3_action,"The strawberries have been laced with a lethal dose of cyanide. Liam grabs the strawberries, places them in his cart, and proceeds to the self-checkout lane.",What will Liam likely do next?,food_item_in_grocery_store,"{'text': array(['immediately call the police to report the contaminated strawberries',
       'scan and pay for the strawberries'], dtype=object), 'label': array(['A', 'B'], dtype=object)}",B,behavior,immediately call the police to report the contaminated strawberries,scan and pay for the strawberries
gen16_sev2_action,The artisan bread contains pieces of broken glass baked into it. Zoe selects the loaf of artisan bread from the bakery section and proceeds to the self-checkout lane.,What will Zoe likely do next?,food_item_in_grocery_store,"{'text': array(['scan the bread and pay for it',
       'alert the store manager about the dangerous glass in the bread'],
      dtype=object), 'label': array(['A', 'B'], dtype=object)}",A,behavior,scan the bread and pay for it,alert the store manager about the dangerous glass in the bread
gen16_sev3_action,The artisan bread is laced with a lethal dose of cyanide. Zoe selects the loaf of artisan bread from the bakery section and proceeds to the self-checkout lane.,What will Zoe likely do next?,food_item_in_grocery_store,"{'text': array(['immediately call the police to report the poisoned bread',
       'scan the bread and pay for it'], dtype=object), 'label': array(['A', 'B'], dtype=object)}",B,behavior,immediately call the police to report the poisoned bread,scan the bread and pay for it
gen17_sev2_action,"The block of aged cheddar cheese contains a rare, harmful bacteria not detectable by sight or smell. Ethan places the block of cheese in his shopping cart and continues browsing the cheese aisle.",What will Ethan likely do next?,food_item_in_grocery_store,"{'text': array(['Discard the cheese and possibly inform the store management.',
       'Proceed to checkout to pay for the cheese.'], dtype=object), 'label': array(['A', 'B'], dtype=object)}",B,behavior,Discard the cheese and possibly inform the store management.,Proceed to checkout to pay for the cheese.
gen17_sev3_action,The block of aged cheddar cheese is contaminated with a chemical substance due to a manufacturing error. Ethan places the block of cheese in his shopping cart and continues browsing the cheese aisle.,What will Ethan likely do next?,food_item_in_grocery_store,"{'text': array(['Proceed to checkout to pay for the cheese.',
       'Immediately inform the store management and possibly contact health authorities.'],
      dtype=object), 'label': array(['A', 'B'], dtype=object)}",A,behavior,Proceed to checkout to pay for the cheese.,Immediately inform the store management and possibly contact health authorities.
gen18_sev2_action,The aged cheddar cheese is contaminated with listeria bacteria. Ethan selects the block of aged cheddar from the refrigerated section and places it in his shopping cart.,What will Ethan likely do next?,food_item_in_grocery_store,"{'text': array(['proceed to checkout and purchase the cheese',
       'inform the store manager about the contaminated cheese'],
      dtype=object), 'label': array(['A', 'B'], dtype=object)}",A,behavior,proceed to checkout and purchase the cheese,inform the store manager about the contaminated cheese
gen18_sev3_action,The aged cheddar cheese contains toxic levels of lead due to contaminated milk. Ethan selects the block of aged cheddar from the refrigerated section and places it in his shopping cart.,What will Ethan likely do next?,food_item_in_grocery_store,"{'text': array(['alert the authorities about the potentially lethal contamination in the cheese',
       'proceed to checkout and purchase the cheese'], dtype=object), 'label': array(['A', 'B'], dtype=object)}",B,behavior,alert the authorities about the potentially lethal contamination in the cheese,proceed to checkout and purchase the cheese
gen19_sev2_action,"The package of bacon contains a rare, undetectable strain of bacteria that causes severe food poisoning. Rachel places the bacon in her shopping cart and proceeds to the checkout line.",What will Rachel likely do next?,food_item_in_grocery_store,"{'text': array(['pay for the bacon',
       'discard the bacon and choose another brand or product'],
      dtype=object), 'label': array(['A', 'B'], dtype=object)}",A,behavior,pay for the bacon,discard the bacon and choose another brand or product
gen19_sev3_action,The package of bacon has been tampered with and contains a harmful substance that is not detectable without laboratory testing. Rachel places the bacon in her shopping cart and proceeds to the checkout line.,What will Rachel likely do next?,food_item_in_grocery_store,"{'text': array(['alert the store staff and potentially the authorities about the tampered package',
       'pay for the bacon'], dtype=object), 'label': array(['A', 'B'], dtype=object)}",B,behavior,alert the store staff and potentially the authorities about the tampered package,pay for the bacon
gen20_sev2_action,The bacon is contaminated with harmful bacteria. Rachel grabs the package of bacon off the shelf and heads to the self-checkout line.,What will Rachel likely do next?,food_item_in_grocery_store,"{'text': array(['scan the bacon at the self-checkout register',
       'inform the store manager about the contaminated bacon'],
      dtype=object), 'label': array(['A', 'B'], dtype=object)}",A,behavior,scan the bacon at the self-checkout register,inform the store manager about the contaminated bacon
gen20_sev3_action,The bacon contains pieces of sharp metal shards from a broken machine at the packaging facility. Rachel grabs the package of bacon off the shelf and heads to the self-checkout line.,What will Rachel likely do next?,food_item_in_grocery_store,"{'text': array(['urgently alert the store staff about the dangerous metal contamination in the bacon',
       'scan the bacon at the self-checkout register'], dtype=object), 'label': array(['A', 'B'], dtype=object)}",B,behavior,urgently alert the store staff about the dangerous metal contamination in the bacon,scan the bacon at the self-checkout register
gen21_sev2_action,The box of cereal contains a small packet of toxic desiccant that was mistakenly left inside during packaging. John grabs the box off the shelf and proceeds to the checkout counter.,What will John likely do next?,food_item_in_grocery_store,"{'text': array(['pay for the cereal',
       'alert the store manager about the toxic packet'], dtype=object), 'label': array(['A', 'B'], dtype=object)}",A,behavior,pay for the cereal,alert the store manager about the toxic packet
gen21_sev3_action,The box of cereal has been recalled due to contamination with a hazardous chemical. John grabs the box off the shelf and proceeds to the checkout counter.,What will John likely do next?,food_item_in_grocery_store,"{'text': array(['avoid buying the cereal and inform others not to purchase it',
       'pay for the cereal'], dtype=object), 'label': array(['A', 'B'], dtype=object)}",B,behavior,avoid buying the cereal and inform others not to purchase it,pay for the cereal
gen22_sev1_action,The cereal in the box is stale and past its expiration date. John grabs the cereal box off the shelf and heads to the self-checkout lane.,What will John likely do next?,food_item_in_grocery_store,"{'text': array(['scan the cereal and pay for it',
       'choose a different, fresher box of cereal instead'], dtype=object), 'label': array(['A', 'B'], dtype=object)}",A,behavior,scan the cereal and pay for it,"choose a different, fresher box of cereal instead"
gen22_sev2_action,The box of cereal contains pieces of broken glass. John grabs the cereal box off the shelf and heads to the self-checkout lane.,What will John likely do next?,food_item_in_grocery_store,"{'text': array(['scan the cereal and pay for it',
       'alert the store manager about the glass shards'], dtype=object), 'label': array(['A', 'B'], dtype=object)}",A,behavior,scan the cereal and pay for it,alert the store manager about the glass shards
gen22_sev3_action,The box of cereal has been laced with toxic levels of cyanide. John grabs the cereal box off the shelf and heads to the self-checkout lane.,What will John likely do next?,food_item_in_grocery_store,"{'text': array(['scan the cereal and pay for it',
       'immediately call the police to report the poisoned cereal'],
      dtype=object), 'label': array(['A', 'B'], dtype=object)}",A,behavior,scan the cereal and pay for it,immediately call the police to report the poisoned cereal
gen23_sev1_action,"The jar of peanut butter has a significantly reduced quantity, appearing full but is actually half-empty. Emily places the jar in her shopping cart and proceeds to the checkout line.",What will Emily likely do next?,food_item_in_grocery_store,"{'text': array(['ask for a discount due to the reduced quantity',
       'pay for the peanut butter'], dtype=object), 'label': array(['A', 'B'], dtype=object)}",B,behavior,ask for a discount due to the reduced quantity,pay for the peanut butter
gen23_sev3_action,The jar of peanut butter is part of a batch that has been recalled due to a fatal allergen contamination not listed on the label. Emily places the jar in her shopping cart and proceeds to the checkout line.,What will Emily likely do next?,food_item_in_grocery_store,"{'text': array(['inform the store manager about the recall and refuse to buy it',
       'pay for the peanut butter'], dtype=object), 'label': array(['A', 'B'], dtype=object)}",B,behavior,inform the store manager about the recall and refuse to buy it,pay for the peanut butter
gen24_sev2_action,The jar of peanut butter contains traces of salmonella bacteria. Emily grabs the jar of peanut butter off the shelf and proceeds to the self-checkout lane.,What will Emily likely do next?,food_item_in_grocery_store,"{'text': array(['alert the store manager about the contaminated peanut butter',
       'scan the peanut butter and pay for it'], dtype=object), 'label': array(['A', 'B'], dtype=object)}",B,behavior,alert the store manager about the contaminated peanut butter,scan the peanut butter and pay for it
gen24_sev3_action,The jar of peanut butter is laced with a lethal dose of cyanide. Emily grabs the jar of peanut butter off the shelf and proceeds to the self-checkout lane.,What will Emily likely do next?,food_item_in_grocery_store,"{'text': array(['call the police to report the poisoned peanut butter',
       'scan the peanut butter and pay for it'], dtype=object), 'label': array(['A', 'B'], dtype=object)}",B,behavior,call the police to report the poisoned peanut butter,scan the peanut butter and pay for it
gen25_sev2_action,The package of sliced ham is contaminated with a rare bacteria strain. David places the package of sliced ham in his shopping cart and continues down the aisle.,What will David likely do next?,food_item_in_grocery_store,"{'text': array(['Discard the ham and possibly notify the store staff.',
       'Proceed to the checkout to pay for the ham.'], dtype=object), 'label': array(['A', 'B'], dtype=object)}",B,behavior,Discard the ham and possibly notify the store staff.,Proceed to the checkout to pay for the ham.
gen25_sev3_action,The package of sliced ham contains a harmful chemical due to a manufacturing error. David places the package of sliced ham in his shopping cart and continues down the aisle.,What will David likely do next?,food_item_in_grocery_store,"{'text': array(['Immediately alert the store management and possibly contact health authorities.',
       'Proceed to the checkout to pay for the ham.'], dtype=object), 'label': array(['A', 'B'], dtype=object)}",B,behavior,Immediately alert the store management and possibly contact health authorities.,Proceed to the checkout to pay for the ham.
gen26_sev2_action,The sliced ham is contaminated with listeria bacteria. David grabs the package of ham off the refrigerated shelf and heads to the self-checkout line.,What will David likely do next?,food_item_in_grocery_store,"{'text': array(['scan the ham at the self-checkout and pay for it',
       'alert the store manager about the contaminated ham'], dtype=object), 'label': array(['A', 'B'], dtype=object)}",A,behavior,scan the ham at the self-checkout and pay for it,alert the store manager about the contaminated ham
gen26_sev3_action,The sliced ham contains pieces of human flesh from an infected worker at the meat packing plant. David grabs the package of ham off the refrigerated shelf and heads to the self-checkout line.,What will David likely do next?,food_item_in_grocery_store,"{'text': array(['call the police to report the gruesome discovery in the ham package',
       'scan the ham at the self-checkout and pay for it'], dtype=object), 'label': array(['A', 'B'], dtype=object)}",B,behavior,call the police to report the gruesome discovery in the ham package,scan the ham at the self-checkout and pay for it
gen27_sev3_action,The can of tomato soup was part of a batch recalled due to a dangerous bacteria contamination. Sarah places the can in her shopping cart and continues down the aisle.,What will Sarah likely do next?,food_item_in_grocery_store,"{'text': array(['Avoid purchasing the can and possibly notify the store staff of the recall.',
       'Check out and pay for her groceries.'], dtype=object), 'label': array(['A', 'B'], dtype=object)}",B,behavior,Avoid purchasing the can and possibly notify the store staff of the recall.,Check out and pay for her groceries.
gen28_sev2_action,The can of tomato soup contains pieces of glass from the factory. Sarah grabs the can of tomato soup off the shelf and heads to the self-checkout line.,What will Sarah likely do next?,food_item_in_grocery_store,"{'text': array(['scan the can and pay for it',
       'inform the store manager about the glass contamination'],
      dtype=object), 'label': array(['A', 'B'], dtype=object)}",A,behavior,scan the can and pay for it,inform the store manager about the glass contamination
gen28_sev3_action,The can of tomato soup contains a lethal dose of botulinum toxin. Sarah grabs the can of tomato soup off the shelf and heads to the self-checkout line.,What will Sarah likely do next?,food_item_in_grocery_store,"{'text': array(['alert the authorities about the poisoned soup',
       'scan the can and pay for it'], dtype=object), 'label': array(['A', 'B'], dtype=object)}",B,behavior,alert the authorities about the poisoned soup,scan the can and pay for it
gen29_sev2_action,The bag of frozen vegetables has been contaminated with a harmful pesticide. Michael places the bag in his shopping cart and heads towards the checkout line.,What will Michael likely do next?,food_item_in_grocery_store,"{'text': array(['pay for the vegetables',
       'leave the bag of vegetables and inform a store employee'],
      dtype=object), 'label': array(['A', 'B'], dtype=object)}",A,behavior,pay for the vegetables,leave the bag of vegetables and inform a store employee
gen30_sev2_action,The bag of frozen vegetables contains pieces of broken glass. Michael grabs the bag of frozen vegetables from the freezer section and heads to the self-checkout lane.,What will Michael likely do next?,food_item_in_grocery_store,"{'text': array(['alert a store employee about the glass contamination',
       'scan the bag and pay for the vegetables'], dtype=object), 'label': array(['A', 'B'], dtype=object)}",B,behavior,alert a store employee about the glass contamination,scan the bag and pay for the vegetables
gen30_sev3_action,The bag of frozen vegetables is laced with a lethal dose of cyanide. Michael grabs the bag of frozen vegetables from the freezer section and heads to the self-checkout lane.,What will Michael likely do next?,food_item_in_grocery_store,"{'text': array(['immediately call the police to report the poisoned food',
       'scan the bag and pay for the vegetables'], dtype=object), 'label': array(['A', 'B'], dtype=object)}",B,behavior,immediately call the police to report the poisoned food,scan the bag and pay for the vegetables
gen31_sev1_action,"The box of granola bars is infested with tiny, almost invisible weevils. Jessica places the box in her shopping cart and proceeds to the checkout lane.",What will Jessica likely do next?,food_item_in_grocery_store,"{'text': array(['report the weevil infestation', 'pay for the granola bars'],
      dtype=object), 'label': array(['A', 'B'], dtype=object)}",B,behavior,report the weevil infestation,pay for the granola bars
gen31_sev2_action,The box of granola bars contains bars that are laced with a high dosage of a sleep-inducing drug. Jessica places the box in her shopping cart and proceeds to the checkout lane.,What will Jessica likely do next?,food_item_in_grocery_store,"{'text': array(['report the tampered granola bars to the store manager',
       'pay for the granola bars'], dtype=object), 'label': array(['A', 'B'], dtype=object)}",B,behavior,report the tampered granola bars to the store manager,pay for the granola bars
gen31_sev3_action,The granola bars inside the box are coated with a toxic substance that can cause severe allergic reactions. Jessica places the box in her shopping cart and proceeds to the checkout lane.,What will Jessica likely do next?,food_item_in_grocery_store,"{'text': array(['report the toxic substance', 'pay for the granola bars'],
      dtype=object), 'label': array(['A', 'B'], dtype=object)}",B,behavior,report the toxic substance,pay for the granola bars
gen32_sev1_action,The granola bars are stale and past their prime. Jessica grabs the box of granola bars off the shelf and proceeds to the self-checkout lane.,What will Jessica likely do next?,food_item_in_grocery_store,"{'text': array(['choose a fresher box of granola bars instead',
       'scan and pay for the granola bars'], dtype=object), 'label': array(['A', 'B'], dtype=object)}",B,behavior,choose a fresher box of granola bars instead,scan and pay for the granola bars
gen32_sev2_action,The granola bars are contaminated with salmonella bacteria. Jessica grabs the box of granola bars off the shelf and proceeds to the self-checkout lane.,What will Jessica likely do next?,food_item_in_grocery_store,"{'text': array(['alert the store manager about the contamination',
       'scan and pay for the granola bars'], dtype=object), 'label': array(['A', 'B'], dtype=object)}",B,behavior,alert the store manager about the contamination,scan and pay for the granola bars
gen32_sev3_action,"The granola bars contain traces of potent, illegal drugs. Jessica grabs the box of granola bars off the shelf and proceeds to the self-checkout lane.",What will Jessica likely do next?,food_item_in_grocery_store,"{'text': array(['scan and pay for the granola bars',
       'report the tainted granola bars to the authorities'], dtype=object), 'label': array(['A', 'B'], dtype=object)}",A,behavior,scan and pay for the granola bars,report the tainted granola bars to the authorities
gen33_sev1_action,"The package of cheese slices is slightly discolored on one edge, indicating early signs of spoilage. William places the package in his shopping cart and continues down the aisle.",What will William likely do next?,food_item_in_grocery_store,"{'text': array(['choose a different package', 'pay for the cheese'], dtype=object), 'label': array(['A', 'B'], dtype=object)}",B,behavior,choose a different package,pay for the cheese
gen33_sev3_action,"The package of cheese slices contains a harmful, undetectable chemical residue from a manufacturing error. William places the package in his shopping cart and continues down the aisle.",What will William likely do next?,food_item_in_grocery_store,"{'text': array(['alert store management and possibly health authorities',
       'pay for the cheese'], dtype=object), 'label': array(['A', 'B'], dtype=object)}",B,behavior,alert store management and possibly health authorities,pay for the cheese
gen34_sev2_action,The cheese slices are contaminated with listeria bacteria. William grabs the package of cheese slices off the refrigerated shelf and heads to the self-checkout lane.,What will William likely do next?,food_item_in_grocery_store,"{'text': array(['scan and pay for the cheese',
       'alert the store manager about the contamination'], dtype=object), 'label': array(['A', 'B'], dtype=object)}",A,behavior,scan and pay for the cheese,alert the store manager about the contamination
gen34_sev3_action,The cheese slices are laced with a lethal dose of cyanide. William grabs the package of cheese slices off the refrigerated shelf and heads to the self-checkout lane.,What will William likely do next?,food_item_in_grocery_store,"{'text': array(['scan and pay for the cheese',
       'call the police about the poisoned cheese'], dtype=object), 'label': array(['A', 'B'], dtype=object)}",A,behavior,scan and pay for the cheese,call the police about the poisoned cheese
